"","Percent","Sample","Time","Healthy","Infected","Dead"
"1",0,1,48,0,0,1
"2",0,2,48,0,0.0012,0.9988
"3",0,3,48,4e-04,0.0136,0.986
"4",0,4,48,0,0,1
"5",0,5,48,4e-04,0.0044,0.9952
"6",0,6,48,0,0,1
"7",0,7,48,0,0,1
"8",0,8,48,8e-04,0.0124,0.9868
"9",0,9,48,0.0596,0.0448,0.8956
"10",0,10,48,0,0.0056,0.9944
"11",0.1,1,48,0.0836,0,0.9164
"12",0.1,2,48,0.2068,0.0028,0.7904
"13",0.1,3,48,0.1552,0.002,0.8428
"14",0.1,4,48,0.1296,0,0.8704
"15",0.1,5,48,0.1712,0.006,0.8228
"16",0.1,6,48,0.198,0.0048,0.7972
"17",0.1,7,48,0.222,0,0.778
"18",0.1,8,48,0.1536,0.0132,0.8332
"19",0.1,9,48,0.2236,0.0012,0.7752
"20",0.1,10,48,0.1588,0,0.8412
"21",0.2,1,48,0.3612,0,0.6388
"22",0.2,2,48,0.342,0,0.658
"23",0.2,3,48,0.3656,0,0.6344
"24",0.2,4,48,0.4036,0,0.5964
"25",0.2,5,48,0.3232,0,0.6768
"26",0.2,6,48,0.4572,0,0.5428
"27",0.2,7,48,0.2584,0,0.7416
"28",0.2,8,48,0.4296,0,0.5704
"29",0.2,9,48,0.5364,0.002,0.4616
"30",0.2,10,48,0.3284,0,0.6716
"31",0.3,1,48,0.4512,0,0.5488
"32",0.3,2,48,0.4568,0,0.5432
"33",0.3,3,48,0.444,0,0.556
"34",0.3,4,48,0.374,0,0.626
"35",0.3,5,48,0.484,0,0.516
"36",0.3,6,48,0.444,0,0.556
"37",0.3,7,48,0.4004,0,0.5996
"38",0.3,8,48,0.3336,0,0.6664
"39",0.3,9,48,0.6144,0,0.3856
"40",0.3,10,48,0.5516,0,0.4484
"41",0.4,1,48,0.4912,0,0.5088
"42",0.4,2,48,0.5636,0,0.4364
"43",0.4,3,48,0.6224,0,0.3776
"44",0.4,4,48,0.6268,0,0.3732
"45",0.4,5,48,0.5492,0,0.4508
"46",0.4,6,48,0.6572,0,0.3428
"47",0.4,7,48,0.4216,0,0.5784
"48",0.4,8,48,0.528,0,0.472
"49",0.4,9,48,0.5064,0,0.4936
"50",0.4,10,48,0.478,0,0.522
"51",0.5,1,48,0.5784,0,0.4216
"52",0.5,2,48,0.618,0,0.382
"53",0.5,3,48,0.4248,0,0.5752
"54",0.5,4,48,0.6588,0,0.3412
"55",0.5,5,48,0.5596,0,0.4404
"56",0.5,6,48,0.5128,0,0.4872
"57",0.5,7,48,0.4788,0,0.5212
"58",0.5,8,48,0.4688,0,0.5312
"59",0.5,9,48,0.63,0,0.37
"60",0.5,10,48,0.5568,0,0.4432
"61",0.6,1,48,0.6312,0,0.3688
"62",0.6,2,48,0.6808,0,0.3192
"63",0.6,3,48,0.6504,0,0.3496
"64",0.6,4,48,0.6104,0,0.3896
"65",0.6,5,48,0.5888,0,0.4112
"66",0.6,6,48,0.5328,0,0.4672
"67",0.6,7,48,0.6108,0,0.3892
"68",0.6,8,48,0.5968,0,0.4032
"69",0.6,9,48,0.5964,0,0.4036
"70",0.6,10,48,0.4984,0,0.5016
"71",0.7,1,48,0.5732,0,0.4268
"72",0.7,2,48,0.4296,0,0.5704
"73",0.7,3,48,0.6272,0,0.3728
"74",0.7,4,48,0.5848,0,0.4152
"75",0.7,5,48,0.668,0,0.332
"76",0.7,6,48,0.6072,0,0.3928
"77",0.7,7,48,0.7668,0,0.2332
"78",0.7,8,48,0.5164,0,0.4836
"79",0.7,9,48,0.5548,0,0.4452
"80",0.7,10,48,0.51,0,0.49
"81",0.8,1,48,0.5152,0,0.4848
"82",0.8,2,48,0.6792,0,0.3208
"83",0.8,3,48,0.6248,0,0.3752
"84",0.8,4,48,0.6516,0,0.3484
"85",0.8,5,48,0.6848,0,0.3152
"86",0.8,6,48,0.5748,0,0.4252
"87",0.8,7,48,0.6856,0,0.3144
"88",0.8,8,48,0.6684,0,0.3316
"89",0.8,9,48,0.6076,0,0.3924
"90",0.8,10,48,0.6944,0,0.3056
"91",0.9,1,48,0.6684,0,0.3316
"92",0.9,2,48,0.5628,0,0.4372
"93",0.9,3,48,0.6084,0,0.3916
"94",0.9,4,48,0.6348,0,0.3652
"95",0.9,5,48,0.5892,0,0.4108
"96",0.9,6,48,0.6532,0,0.3468
"97",0.9,7,48,0.668,0,0.332
"98",0.9,8,48,0.5472,0,0.4528
"99",0.9,9,48,0.6112,0,0.3888
"100",0.9,10,48,0.6012,0,0.3988
"101",1,1,48,0.6456,0,0.3544
"102",1,2,48,0.564,0,0.436
"103",1,3,48,0.6044,0,0.3956
"104",1,4,48,0.6472,0,0.3528
"105",1,5,48,0.698,0,0.302
"106",1,6,48,0.7016,0,0.2984
"107",1,7,48,0.7244,0,0.2756
"108",1,8,48,0.63,0,0.37
"109",1,9,48,0.6556,0,0.3444
"110",1,10,48,0.7636,0,0.2364
